Date : 2025-08-27 20:00:31
Directory : /workspaces/NeuroNews
Total : 1784 files,  230846 codes, 27474 comments, 53410 blanks, all 311730 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /workspaces/NeuroNews/dbt/models/semantic/saved_queries.yml                                                                                                            | YAML               |         12 |          0 |          2 |         14 |
| /workspaces/NeuroNews/dbt/models/semantic/sources.yml                                                                                                                  | YAML               |         17 |          0 |          2 |         19 |
| /workspaces/NeuroNews/dbt/models/semantic/sources_sample.sql                                                                                                           | MS SQL             |         18 |          1 |          2 |         21 |
| /workspaces/NeuroNews/dbt/models/semantic/time_spine_schema.yml                                                                                                        | YAML               |         12 |          1 |          2 |         15 |
| /workspaces/NeuroNews/dbt/models/sources/sources.yml                                                                                                                   | YAML               |         74 |          0 |          3 |         77 |
| /workspaces/NeuroNews/dbt/models/staging/stg_articles_enriched.sql                                                                                                     | MS SQL             |        108 |         31 |         35 |        174 |
| /workspaces/NeuroNews/dbt/models/staging/stg_articles_raw.sql                                                                                                          | MS SQL             |         64 |         17 |         21 |        102 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/.circleci/config.yml                                                                                        | YAML               |        158 |          0 |         29 |        187 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/.github/FUNDING.yml                                                                                         | YAML               |          1 |          1 |          2 |          4 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/.github/ISSUE_TEMPLATE/bug_report.md                                                                        | Markdown           |         27 |          0 |         14 |         41 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/CHANGELOG.md                                                                                                | Markdown           |         90 |          0 |         54 |        144 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/README.md                                                                                                   | Markdown           |        556 |          0 |        289 |        845 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/dbt_project.yml                                                                                             | YAML               |         14 |          0 |          7 |         21 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/ci/profiles.yml                                                                           | YAML               |         55 |          0 |          8 |         63 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/dbt_project.yml                                                                           | YAML               |         24 |          0 |          9 |         33 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/docker-compose.yml                                                                        | YAML               |         26 |          0 |          3 |         29 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/docker-start.sh                                                                           | Shell Script       |          1 |          0 |          1 |          2 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/docker-stop.sh                                                                            | Shell Script       |          1 |          0 |          1 |          2 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/docker/hive-site.xml                                                                      | XML                |         24 |         16 |          7 |         47 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/docker/spark-defaults.conf                                                                | Properties         |          9 |          0 |          1 |         10 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/docker/trino/catalog/memory.properties                                                    | Properties         |          2 |          0 |          1 |          3 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/macros/expression_is_true.sql                                                             | MS SQL             |         18 |          0 |          5 |         23 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/macros/get_custom_schema.sql                                                              | MS SQL             |          8 |          0 |          7 |         15 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/macros/get_test_dates.sql                                                                 | MS SQL             |        140 |          3 |         26 |        169 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/models/dates.sql                                                                          | MS SQL             |          6 |          0 |          1 |          7 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/models/dim_date.sql                                                                       | MS SQL             |         23 |          0 |          1 |         24 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/models/dim_date_fiscal.sql                                                                | MS SQL             |         12 |          0 |          1 |         13 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/models/dim_hour.sql                                                                       | MS SQL             |         12 |          0 |          1 |         13 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/models/dim_week.sql                                                                       | MS SQL             |         12 |          0 |          1 |         13 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/models/test_dates.sql                                                                     | MS SQL             |          6 |          0 |          1 |          7 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/models/test_dates.yml                                                                     | YAML               |         69 |          4 |          5 |         78 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/packages.yml                                                                              | YAML               |          2 |          0 |          1 |          3 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/integration_tests/test.sh                                                                                   | Shell Script       |         10 |          0 |          5 |         15 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/_utils/date_spine.sql                                                                                | MS SQL             |         51 |          0 |         27 |         78 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/_utils/generate_series.sql                                                                           | MS SQL             |         37 |          0 |         17 |         54 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/_utils/modules_datetime.sql                                                                          | MS SQL             |         13 |          0 |          2 |         15 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/convert_timezone.sql                                                                   | MS SQL             |         34 |          0 |          8 |         42 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/date_part.sql                                                                          | MS SQL             |         12 |          0 |          4 |         16 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/day_name.sql                                                                           | MS SQL             |         46 |          1 |          9 |         56 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/day_of_month.sql                                                                       | MS SQL             |          6 |          0 |          2 |          8 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/day_of_week.sql                                                                        | MS SQL             |         75 |          5 |         34 |        114 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/day_of_year.sql                                                                        | MS SQL             |         18 |          0 |          6 |         24 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/from_unixtimestamp.sql                                                                 | MS SQL             |         75 |          0 |         10 |         85 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/iso_week_end.sql                                                                       | MS SQL             |         14 |          0 |          4 |         18 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/iso_week_of_year.sql                                                                   | MS SQL             |         25 |          1 |          8 |         34 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/iso_week_start.sql                                                                     | MS SQL             |         25 |          0 |          8 |         33 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/last_month.sql                                                                         | MS SQL             |          3 |          0 |          0 |          3 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/last_month_name.sql                                                                    | MS SQL             |          3 |          0 |          1 |          4 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/last_month_number.sql                                                                  | MS SQL             |          3 |          0 |          1 |          4 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/last_week.sql                                                                          | MS SQL             |          3 |          0 |          0 |          3 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/month_name.sql                                                                         | MS SQL             |         35 |          0 |          9 |         44 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/n_days_ago.sql                                                                         | MS SQL             |          5 |          0 |          1 |          6 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/n_days_away.sql                                                                        | MS SQL             |          3 |          0 |          0 |          3 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/n_months_ago.sql                                                                       | MS SQL             |          8 |          0 |          1 |          9 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/n_months_away.sql                                                                      | MS SQL             |          8 |          0 |          1 |          9 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/n_weeks_ago.sql                                                                        | MS SQL             |          8 |          0 |          1 |          9 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/n_weeks_away.sql                                                                       | MS SQL             |          8 |          0 |          1 |          9 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/next_month.sql                                                                         | MS SQL             |          3 |          0 |          0 |          3 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/next_month_name.sql                                                                    | MS SQL             |          3 |          0 |          1 |          4 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/next_month_number.sql                                                                  | MS SQL             |          3 |          0 |          1 |          4 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/next_week.sql                                                                          | MS SQL             |          3 |          0 |          0 |          3 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/now.sql                                                                                | MS SQL             |          3 |          0 |          1 |          4 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/periods_since.sql                                                                      | MS SQL             |          3 |          0 |          1 |          4 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/round_timestamp.sql                                                                    | MS SQL             |          3 |          0 |          1 |          4 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/to_unixtimestamp.sql                                                                   | MS SQL             |         18 |          0 |          6 |         24 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/today.sql                                                                              | MS SQL             |          3 |          0 |          1 |          4 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/tomorrow.sql                                                                           | MS SQL             |          3 |          0 |          1 |          4 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/week_end.sql                                                                           | MS SQL             |         18 |          0 |          5 |         23 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/week_of_year.sql                                                                       | MS SQL             |         18 |          0 |          5 |         23 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/week_start.sql                                                                         | MS SQL             |         21 |          1 |          5 |         27 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date/yesterday.sql                                                                          | MS SQL             |          3 |          0 |          1 |          4 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/fiscal_date/get_fiscal_periods.sql                                                                   | MS SQL             |         62 |          4 |          7 |         73 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/fiscal_date/get_fiscal_year_dates.sql                                                                | MS SQL             |         89 |          6 |         14 |        109 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/get_base_dates.sql                                                                                   | MS SQL             |         69 |          0 |         23 |         92 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/macros/get_date_dimension.sql                                                                               | MS SQL             |        109 |          0 |         24 |        133 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_date/packages.yml                                                                                                | YAML               |          0 |          0 |          1 |          1 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/.circleci/config.yml                                                                                | YAML               |        159 |          0 |         29 |        188 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/.github/FUNDING.yml                                                                                 | YAML               |          1 |          1 |          2 |          4 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/.github/ISSUE_TEMPLATE/bug_report.md                                                                | Markdown           |         27 |          0 |         14 |         41 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/.github/ISSUE_TEMPLATE/feature_request.md                                                           | Markdown           |         15 |          0 |          6 |         21 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/.github/pull_request_template.md                                                                    | Markdown           |          9 |          0 |          9 |         18 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/CHANGELOG.md                                                                                        | Markdown           |        216 |          0 |        128 |        344 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/README.md                                                                                           | Markdown           |        910 |          0 |        334 |      1,244 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/dbt_project.yml                                                                                     | YAML               |          8 |          3 |          4 |         15 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/docs/catalog.json                                                                                   | JSON               |          1 |          0 |          0 |          1 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/docs/index.html                                                                                     | HTML               |         97 |          0 |          6 |        103 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/docs/manifest.json                                                                                  | JSON               |          1 |          0 |          0 |          1 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/docs/run_results.json                                                                               | JSON               |          1 |          0 |          0 |          1 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/ci/profiles.yml                                                                   | YAML               |         54 |          0 |          7 |         61 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/dbt_project.yml                                                                   | YAML               |         30 |          0 |         10 |         40 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/docker-compose.yml                                                                | YAML               |         26 |          0 |          3 |         29 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/docker-start.sh                                                                   | Shell Script       |          1 |          0 |          1 |          2 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/docker-stop.sh                                                                    | Shell Script       |          1 |          0 |          1 |          2 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/docker/hive-site.xml                                                              | XML                |         24 |         16 |          7 |         47 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/docker/spark-defaults.conf                                                        | Properties         |          9 |          1 |          1 |         11 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/macros/get_custom_schema.sql                                                      | MS SQL             |          8 |          0 |          7 |         15 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/models/schema_tests/data_test.sql                                                 | MS SQL             |         51 |          0 |          7 |         58 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/models/schema_tests/data_test_factored.sql                                        | MS SQL             |         11 |          0 |          3 |         14 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/models/schema_tests/data_text.sql                                                 | MS SQL             |         19 |          0 |          7 |         26 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/models/schema_tests/schema.yml                                                    | YAML               |        611 |         32 |         37 |        680 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/models/schema_tests/series_10.sql                                                 | MS SQL             |          1 |          0 |          1 |          2 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/models/schema_tests/series_4.sql                                                  | MS SQL             |          1 |          0 |          1 |          2 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/models/schema_tests/timeseries_base.sql                                           | MS SQL             |          1 |          0 |          1 |          2 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/models/schema_tests/timeseries_data.sql                                           | MS SQL             |         22 |          0 |          7 |         29 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/models/schema_tests/timeseries_data_extended.sql                                  | MS SQL             |         24 |          0 |          5 |         29 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/models/schema_tests/timeseries_data_grouped.sql                                   | MS SQL             |         30 |          0 |          4 |         34 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/models/schema_tests/timeseries_hourly.sql                                         | MS SQL             |          8 |          0 |          2 |         10 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/models/schema_tests/timeseries_hourly_data_extended.sql                           | MS SQL             |         24 |          0 |          7 |         31 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/models/schema_tests/window_function_test.sql                                      | MS SQL             |         37 |          0 |         12 |         49 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/packages.yml                                                                      | YAML               |          2 |          0 |          1 |          3 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/test.sh                                                                           | Shell Script       |         10 |          0 |          5 |         15 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/math/log_natural.sql                                                                         | MS SQL             |         15 |          0 |         13 |         28 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/math/median.sql                                                                              | MS SQL             |          3 |          0 |          1 |          4 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/math/percentile_cont.sql                                                                     | MS SQL             |         15 |          0 |          4 |         19 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/math/rand.sql                                                                                | MS SQL             |         21 |          0 |         19 |         40 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/regex/regexp_instr.sql                                                                       | MS SQL             |         99 |          0 |         14 |        113 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/_generalized/_ignore_row_if_expression.sql                                      | MS SQL             |         17 |          0 |          4 |         21 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/_generalized/_truth_expression.sql                                              | MS SQL             |          6 |          0 |          3 |          9 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/_generalized/equal_expression.sql                                               | MS SQL             |        100 |          2 |          9 |        111 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/_generalized/expression_between.sql                                             | MS SQL             |         36 |          0 |          9 |         45 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/_generalized/expression_is_true.sql                                             | MS SQL             |         48 |          0 |         11 |         59 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_distinct_count_to_be_greater_than.sql         | MS SQL             |         15 |          0 |          1 |         16 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_distinct_count_to_be_less_than.sql            | MS SQL             |         15 |          0 |          1 |         16 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_distinct_count_to_equal.sql                   | MS SQL             |         15 |          0 |          1 |         16 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_distinct_count_to_equal_other_table.sql       | MS SQL             |         26 |          0 |          1 |         27 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_distinct_values_to_be_in_set.sql              | MS SQL             |         43 |          1 |         12 |         56 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_distinct_values_to_contain_set.sql            | MS SQL             |         42 |          1 |         12 |         55 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_distinct_values_to_equal_set.sql              | MS SQL             |         43 |          0 |         13 |         56 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_max_to_be_between.sql                         | MS SQL             |         19 |          0 |          1 |         20 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_mean_to_be_between.sql                        | MS SQL             |         19 |          0 |          1 |         20 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_median_to_be_between.sql                      | MS SQL             |         19 |          0 |          2 |         21 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_min_to_be_between.sql                         | MS SQL             |         19 |          0 |          2 |         21 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_most_common_value_to_be_in_set.sql            | MS SQL             |         80 |          1 |         20 |        101 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_proportion_of_unique_values_to_be_between.sql | MS SQL             |         19 |          0 |          2 |         21 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_quantile_values_to_be_between.sql             | MS SQL             |         20 |          0 |          2 |         22 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_stdev_to_be_between.sql                       | MS SQL             |         36 |          0 |          3 |         39 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_sum_to_be_between.sql                         | MS SQL             |         19 |          0 |          1 |         20 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions/expect_column_unique_value_count_to_be_between.sql          | MS SQL             |         19 |          0 |          1 |         20 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/column_values_basic/expect_column_values_to_be_between.sql                      | MS SQL             |         18 |          0 |          5 |         23 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/column_values_basic/expect_column_values_to_be_decreasing.sql                   | MS SQL             |         51 |          0 |          8 |         59 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/column_values_basic/expect_column_values_to_be_in_set.sql                       | MS SQL             |         37 |          1 |          9 |         47 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/column_values_basic/expect_column_values_to_be_in_type_list.sql                 | MS SQL             |         27 |          0 |          6 |         33 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/column_values_basic/expect_column_values_to_be_increasing.sql                   | MS SQL             |         54 |          0 |          7 |         61 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/column_values_basic/expect_column_values_to_be_null.sql                         | MS SQL             |          9 |          0 |          3 |         12 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/column_values_basic/expect_column_values_to_be_of_type.sql                      | MS SQL             |          3 |          0 |          2 |          5 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/column_values_basic/expect_column_values_to_be_unique.sql                       | MS SQL             |          3 |          0 |          1 |          4 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/column_values_basic/expect_column_values_to_have_consistent_casing.sql          | MS SQL             |         34 |          0 |          8 |         42 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/column_values_basic/expect_column_values_to_not_be_in_set.sql                   | MS SQL             |         35 |          1 |          9 |         45 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/column_values_basic/expect_column_values_to_not_be_null.sql                     | MS SQL             |          9 |          0 |          3 |         12 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/distributional/expect_column_values_to_be_within_n_moving_stdevs.sql            | MS SQL             |        131 |          0 |         22 |        153 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/distributional/expect_column_values_to_be_within_n_stdevs.sql                   | MS SQL             |         49 |          0 |          9 |         58 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/distributional/expect_row_values_to_have_data_for_every_n_datepart.sql          | MS SQL             |        109 |          0 |         22 |        131 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/multi-column/expect_column_pair_values_A_to_be_greater_than_B.sql               | MS SQL             |         15 |          0 |          5 |         20 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/multi-column/expect_column_pair_values_to_be_equal.sql                          | MS SQL             |         14 |          0 |          5 |         19 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/multi-column/expect_column_pair_values_to_be_in_set.sql                         | MS SQL             |         25 |          0 |          3 |         28 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/multi-column/expect_compound_columns_to_be_unique.sql                           | MS SQL             |         49 |          0 |         12 |         61 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/multi-column/expect_multicolumn_sum_to_equal.sql                                | MS SQL             |         19 |          0 |          5 |         24 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/multi-column/expect_select_column_values_to_be_unique_within_record.sql         | MS SQL             |         61 |          0 |         13 |         74 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/string_matching/_get_like_pattern_expression.sql                                | MS SQL             |          3 |          0 |          2 |          5 |
| /workspaces/NeuroNews/dbt/neuro_news/dbt_packages/dbt_expectations/macros/schema_tests/string_matching/expect_column_value_lengths_to_be_between.sql                   | MS SQL             |         18 |          0 |          3 |         21 |
